#id	type	iconopen	icon	ladderlevel	name	costtime	costdiamond	trophy	dropitem	dropcoin	mincoin	maxcoin	itemnum	itemgather
#箱子id	箱子类型	开启状态图标	icon	天梯等级	宝箱名称	开启消耗时间(s)	开启消耗钻石	战斗胜利次数获得	掉落物品种类	是否掉落金币	最小金币掉落	最大金币掉落	掉落数量	掉落物品集合
#int	int	string	string	int	string	int	int	int	int	int	int	int	int	string
10000	0				空箱子	0	0		0	0	0	0		
10101	1	icon_box_open_gray	icon_box_close_gray	1	灰宝箱	0	0		3	1	21	24	3	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10102	1	icon_box_open_gray	icon_box_close_gray	2	灰宝箱	0	0		3	1	28	32	4	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10103	1	icon_box_open_gray	icon_box_close_gray	3	灰宝箱	0	0		3	1	35	40	5	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10104	1	icon_box_open_gray	icon_box_close_gray	4	灰宝箱	0	0		3	1	42	48	6	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10105	1	icon_box_open_gray	icon_box_close_gray	5	灰宝箱	0	0		3	1	49	56	7	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10106	1	icon_box_open_gray	icon_box_close_gray	6	灰宝箱	0	0		3	1	56	64	8	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10107	1	icon_box_open_gray	icon_box_close_gray	7	灰宝箱	0	0		3	1	63	72	9	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10108	1	icon_box_open_gray	icon_box_close_gray	8	灰宝箱	0	0		3	1	70	80	10	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10109	1	icon_box_open_gray	icon_box_close_gray	9	灰宝箱	0	0		3	1	77	88	11	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10110	1	icon_box_open_gray	icon_box_close_gray	10	灰宝箱	0	0		3	1	84	96	12	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10201	2	icon_box_open_cyan	icon_box_close_cyan	1	蓝绿宝箱	0	0		3	1	140	160	20	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10202	2	icon_box_open_cyan	icon_box_close_cyan	2	蓝绿宝箱	0	0		3	1	189	216	27	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10203	2	icon_box_open_cyan	icon_box_close_cyan	3	蓝绿宝箱	0	0		3	1	238	272	34	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10204	2	icon_box_open_cyan	icon_box_close_cyan	4	蓝绿宝箱	0	0		3	1	280	320	40	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10205	2	icon_box_open_cyan	icon_box_close_cyan	5	蓝绿宝箱	0	0		3	1	322	368	46	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10206	2	icon_box_open_cyan	icon_box_close_cyan	6	蓝绿宝箱	0	0		3	1	364	416	52	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10207	2	icon_box_open_cyan	icon_box_close_cyan	7	蓝绿宝箱	0	0		3	1	406	464	58	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10208	2	icon_box_open_cyan	icon_box_close_cyan	8	蓝绿宝箱	0	0		4	1	448	512	64	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10209	2	icon_box_open_cyan	icon_box_close_cyan	9	蓝绿宝箱	0	0		4	1	490	560	70	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10210	2	icon_box_open_cyan	icon_box_close_cyan	10	蓝绿宝箱	0	0		4	1	532	608	76	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10301	3	icon_box_open_blue	icon_box_close_blue	1	蓝宝箱	10800	18		3	1	15	21	3	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10302	3	icon_box_open_blue	icon_box_close_blue	2	蓝宝箱	10800	18		3	1	20	28	4	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10303	3	icon_box_open_blue	icon_box_close_blue	3	蓝宝箱	10800	18		3	1	25	35	5	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10304	3	icon_box_open_blue	icon_box_close_blue	4	蓝宝箱	10800	18		3	1	30	42	6	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10305	3	icon_box_open_blue	icon_box_close_blue	5	蓝宝箱	10800	18		3	1	35	49	7	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10306	3	icon_box_open_blue	icon_box_close_blue	6	蓝宝箱	10800	18		3	1	40	56	8	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10307	3	icon_box_open_blue	icon_box_close_blue	7	蓝宝箱	10800	18		3	1	45	63	9	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10308	3	icon_box_open_blue	icon_box_close_blue	8	蓝宝箱	10800	18		3	1	50	70	10	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10309	3	icon_box_open_blue	icon_box_close_blue	9	蓝宝箱	10800	18		3	1	55	77	11	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10310	3	icon_box_open_blue	icon_box_close_blue	10	蓝宝箱	10800	18		3	1	60	84	12	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10401	4	icon_box_open_green	icon_box_close_green	1	绿宝箱	28800	48		3	1	50	70	10	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10402	4	icon_box_open_green	icon_box_close_green	2	绿宝箱	28800	48		3	1	70	98	14	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10403	4	icon_box_open_green	icon_box_close_green	3	绿宝箱	28800	48		3	1	85	119	17	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10404	4	icon_box_open_green	icon_box_close_green	4	绿宝箱	28800	48		3	1	100	140	20	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10405	4	icon_box_open_green	icon_box_close_green	5	绿宝箱	28800	48		3	1	115	161	23	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10406	4	icon_box_open_green	icon_box_close_green	6	绿宝箱	28800	48		3	1	130	182	26	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10407	4	icon_box_open_green	icon_box_close_green	7	绿宝箱	28800	48		3	1	145	203	29	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10408	4	icon_box_open_green	icon_box_close_green	8	绿宝箱	28800	48		3	1	160	224	32	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10409	4	icon_box_open_green	icon_box_close_green	9	绿宝箱	28800	48		3	1	175	245	35	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10410	4	icon_box_open_green	icon_box_close_green	10	绿宝箱	28800	48		3	1	190	266	38	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10501	5	icon_box_open_pink	icon_box_close_pink	1	红宝箱	43200	72		3	1	150	210	30	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10502	5	icon_box_open_pink	icon_box_close_pink	2	红宝箱	43200	72		3	1	205	287	41	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10503	5	icon_box_open_pink	icon_box_close_pink	3	红宝箱	43200	72		3	1	255	357	51	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10504	5	icon_box_open_pink	icon_box_close_pink	4	红宝箱	43200	72		3	1	300	420	60	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10505	5	icon_box_open_pink	icon_box_close_pink	5	红宝箱	43200	72		4	1	345	483	69	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10506	5	icon_box_open_pink	icon_box_close_pink	6	红宝箱	43200	72		4	1	390	546	78	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10507	5	icon_box_open_pink	icon_box_close_pink	7	红宝箱	43200	72		4	1	435	609	87	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10508	5	icon_box_open_pink	icon_box_close_pink	8	红宝箱	43200	72		4	1	480	672	96	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10509	5	icon_box_open_pink	icon_box_close_pink	9	红宝箱	43200	72		4	1	525	735	105	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10510	5	icon_box_open_pink	icon_box_close_pink	10	红宝箱	43200	72		4	1	570	798	114	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
10601	6	icon_box_open_orange	icon_box_close_orange	1	橙宝箱	43200	72		4	1	400	560	80	"10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10015,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030"
