#id	linetags	player_count	vertical	audio	buildingIds	playerIds	reward	
#System.String	System.String	System.Int32	System.Boolean	System.String	System.String	System.String	System.Int32	
x1		1	False	Wandering	0,1	0	10	
x10		2	True	Wandering1	0,1,2,3,4,5,6,7	0,1	10	
x11		2	True	Wandering1	0,1,2,3,4,5,6,7,8,9	0,1,2,3	10	
x12	E,D	2	False	Wandering1	0,1,2,3,4	0,1	10	
x13	b,c;d,e	4	True	Wandering1	0,1,2,3,4,5,6,7,8,9,10,11,12,13	0,1,2,3	10	
x14	a,c	2	True	Wandering1	0,1,2,3,4,5,6,7,8,9	0,1	10	
x15	d,c;i,h	2	True	Wandering1	0,1,2,3,4,5,6,7,8,9,10	0,1	10	
x16		2	False	Wandering1	0,1,2,3,4	0,1	10	
x17	g,h	2	True	Wandering1	0,1,2,3,4,5,6,7,8,9,10,11,12,13	0,1,2,3,4	10	
x18		2	True	Wandering1	0,1,2,3,4,5,6,7,8,9,10	0,1	10	
x19	C,B;E,C;D,E;B,D	2	True	Wandering1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14	0,1,2,3	10	
x2		2	False	Wandering	0,1,2	0,1	10	
x20		2	True	Wandering1	0,1,2,3,4	0,1	10	
x21		2	False	Wandering1	0,1,2,3,4,5	0,1	10	
x22		2	True	Wandering1	0,1,2,3,4,5,6,7,8	0,1,2,3	10	
x23		2	True	Wandering1	0,1,2,3,4,5,6,7,8,9	0,1	10	
x24		3	False	Wandering2	0,1,2,3,4,5	0,1,2	10	
x25	b,c;d,e;G,H	4	True	Wandering2	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	0,1,2,3	10	
x26		4	True	Wandering2	0,1,2,3,4,5,6,7,8,9,10	0,1,2,3,4,5,6,7,8	10	
x27		4	True	Wandering2	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14	0,1,2,3,4,5	10	
x28		3	True	Wandering2	0,1,2,3,4,5,6,7,8,9	0,1,2	10	
x29		3	True	Wandering2	0,1,2,3,4,5,6,7,8,9,10,11,12	0,1,2	10	
x3		2	False	Wandering	0,1,2,3	0,1	10	
x30	B,A	4	True	Wandering2	0,1,2,3,4,5,6,7,8,9,10,11,12,13	0,1,2,3,4,5	10	
x31		4	True	Wandering2	0,1,2,3,4,5,6,7,8,9,10,11,12,13	0,1,2,3,4,5	10	
x32		3	True	Wandering2	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14	0,1,2,3,4,5,6,7,8,9,10,11	10	
x33	F,E;G,H	4	True	Wandering3	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	0,1,2,3,4,5,6,7,8,9	10	
x34		4	True	Wandering3	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	10	
x35		4	True	Wandering3	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	10	
x36		5	True	Wandering3	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	10	
x4		2	False	Wandering	0,1,2,3,4	0,1	10	
x5		2	True	Wandering	0,1,2,3,4,5	0,1	10	
x6		2	True	Wandering	0,1,2,3,4	0,1	10	
x7		2	True	Wandering	0,1,2,3,4,5	0,1	10	
x8	y,x;{,z	2	True	Wandering	0,1,2,3,4,5,6,7,8	0,1	10	
x9	h,i;i,j;j,g;g,h	2	True	Wandering	0,1,2,3,4,5,6,7,8,9	0,1	10	
