#id	#name
#System.Int32	#System.String
1	御神风
2	闍魇梦使
3	驺山棋一
4	鬼觉神知
5	忌霞殇
6	任云踪
7	悟剑声
8	红流邪少
9	黑衣剑少
10	白衣剑少
11	殢无伤
12	号天穷
13	靖沧浪
14	宿贤卿
15	魔王子
16	戢武王
17	冰非儿
18	剑之初
19	慕容情
20	愁未央
21	千叶传奇
22	赤子心
23	无衣师尹
24	鬼谷藏龙
25	惜夫人
26	擎海潮
27	刑剑罪己
28	劫随
29	玉权臣
30	丘伯
31	撒手慈悲
32	禁天妖肃
33	拂樱斋主
34	禳命女
35	咒世主
36	太息公
37	机会者
38	破坏者
39	替代者
40	志满天
41	烨世兵权
42	失路英雄
43	南风不竞
44	求影十锋
45	死国之神
46	天者
47	地者
48	阿修罗
49	神之子
50	夜神
51	鬼狱邪神
52	九妖翼姬
53	黑暗冷爵
54	银月贪狼
55	无界尊皇
56	仲裁者
57	寒烟翠
58	莎莉罕
59	无执相
60	香独秀
61	弃天帝
62	苍月银血
63	火狐夜麟
64	幽溟
65	爱染嫇娘
66	百罹刑迹
67	笑剑钝
68	醉饮黄龙
69	刀无极
70	炎炽凤羽
71	独孤残剑
72	冷夜残心
73	邪锋绝刀
74	啸日猋
75	枫岫主人
76	少独行
77	罗喉
78	君曼睩
79	九界佛皇
80	天蚩极业
81	爱祸女戎
82	阴端佛鬼
83	逆吾非道
84	异法无天
85	邪说沦语
86	问天敌
87	曲指邪怒
88	夜暴双镰
89	梦语独断
90	鬼艳织香
91	勾首紫蜒
92	骨讽蓝嚣
93	玩命丑笑
94	天堂之萼
95	夸诞冥生
96	氤伞乌霾
97	病色哀歌
98	禁种虫父
99	养骨者
100	六轮鬼贼
101	销骨箕伯
102	九阴魔蝎
103	叛经恶蠹
104	沧海平
105	刀无形
106	刀无我
107	刀无心
108	玉刀爵
109	御不凡
110	炎龙
111	天武师
112	地武师
113	人武师
114	春雨
115	夏雷
116	玉秋风
117	冬雪
118	夜风行
119	悲雨泣
120	流水心
121	月光吟
122	寒冰语
123	孤影笑
124	川凉剑夫
125	钢翼飞猿
126	独孤遗恨
127	冥河画匠
128	卷三宗
129	权妃
130	妖后
131	明月心
132	四无君
133	策谋略
134	黑鹰
135	战雕
136	地煞
137	月鸣孤魂
138	妖刀帅
139	刃奇书
140	刀魁
141	刀将
142	天忌
143	凯
144	定风愁
145	一字师
146	郭财临
147	虎仔
148	炮仔
149	阿泽仔
150	猫仔
151	瓠仔
152	薛厝边
153	云袖
154	赦木年
155	断水刃
156	释无念
157	无悲
158	苦释尊者
159	怒杀
160	残命
161	凶煞
162	裂魂
163	夺魄
164	不明
165	不白
166	大忍戒怒
167	大定藏海
168	大原照宇
169	大悲忏慧
170	大慈化裟
171	披魂纱
172	雅瑟风流
173	欲苍穹
174	风凌韵
175	箭翊
176	冀小棠
177	道释尊者
178	毒蝎女
179	遗世老
180	巫剑舟
181	骨冷笑
182	异端神
183	越剑人
184	患无救
185	剑理
186	山涛君
187	海殇君
188	云岫君
189	亢无后
190	刑婆
191	力山
192	不戒僧
193	干儿
194	末情天
195	林震天
196	天山双霸
197	风雪生
198	渡金笙
199	夔神
200	夔萝
201	夔婴
202	雷公婴
203	龙琴一品
204	观世局
205	瑟残影
206	魔族精卫
207	劫无形
208	潇湘子
209	疯魔乱道
210	红目枝
211	归元圣童
212	血泣噬道
213	触念来
214	屠力金
215	诛形银
216	杀气铜
217	长桑鬼陀
218	变相来
219	因果来
220	圣贤诸
221	上官知礼
222	广文诸
223	风雅诸
224	白阳子
225	金阳子
226	墨阳子
227	夜笑埋道
228	执道行
229	蓝蝎哭道
230	孝文
231	魔魁之女
232	天督
233	地宰
234	灵啸月
235	夫子
236	玉槐相士
237	秤命客
238	补运仙
239	道尊
240	老佛
241	太极道君
242	无极道君
243	白滴子
244	鹤岗
245	鹤原
246	不知名
247	玄真君
248	剑心
249	剑胆
250	太真君
251	元真君
252	鹤元
253	百里抱信
254	南宫布仁
255	释丹凤
256	天理老人
257	风随行
258	空劫
259	曹百哀
260	心残
261	超天五行者
262	追音老叟
263	阴柳双姬
264	天际双星
265	勾肠剑
266	沙罗教主
267	武宗魁
268	鬼符灯
269	梅香居士
270	柳全真
271	古太虚
272	巫上玄
273	九恶道
274	娑罗七鬼
275	劫成念
276	毒炽盛
277	无我相
278	尊天印
279	双运行
280	法上观
281	梦杀升
282	布云广
283	容正弘
284	形而上
285	抑制无极
286	表象意魔
287	促音褊邪
288	赤钹哀音
289	炉火狭爱
290	传动怒生
291	桀黠味毒
